,response id,birth year,gender,industry desc,occupation desc,organization size,manage others?,household,years at job,metro or regional,rw percentage (2020),org encouraged rw?,org prepared for rw?,rw is common at org?,rw permission is attainable,rw collaboration easy?,preferred rw percentage (2020),preferred rw percentage (future),if no covid: employer encourage rw ,if no covid: employer support rw,if no covid: i would have choice about rw,productivity (remote vs office),in-person: hours  commuting ,in-person: hours  working,in-person: hours  personal/family time,in-person: hours domestic responsibilities,remote: hours commuting ,remote: hours working,remote: hours personal/family time,remote: hours domestic responsibilities
72,73,1959,Female,"Professional, Scientific and Technical Services",Professionals,I am the only employee,No,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,90%,Somewhat disagree,Strongly agree,Strongly agree,I’m 20% more productive when working remotely,3.0,8.0,3.0,2.0,1.0,9.0,4.0,2.0
73,74,1985,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,50% - About half of my time,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,My productivity is about same when I work remotely,2.5,8.0,2.0,3.0,0.5,9.0,3.0,5.0
74,75,1985,Female,Education and Training,Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,50% - I spent about half of my time remote working,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,100% - All of my time,60%,Somewhat disagree,Somewhat disagree,Somewhat disagree,I’m 50% more productive when working remotely (or more),3.0,8.0,1.0,3.0,0.0,6.0,6.0,4.0
75,76,1992,Female,Information Media and Telecommunications,Managers,Between 5 and 19,Yes,Single person,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),1.5,7.5,5.0,0.5,0.0,7.5,7.0,0.5
76,77,1961,Female,Arts and Recreation Services,Managers,I am the only employee,Yes,Single person,Between 1 and 5 years,Regional,40%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,40%,40%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 20% more productive when working remotely,3.0,6.0,4.0,1.0,2.0,7.0,3.0,1.0
77,78,1973,Male,Financial and Insurance Services,Technicians and trades ,More than 200,No,Couple with dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,90%,90%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,3.0,2.0,1.0,1.0,0.0,5.0,1.0,1.0
78,79,1963,Female,Information Media and Telecommunications,Managers,I am the only employee,No,Couple with dependent children,More than 5 years,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,50% - About half of my time,Strongly agree,Somewhat agree,Strongly agree,My productivity is about same when I work remotely,3.0,7.0,1.0,4.0,0.5,7.0,3.0,4.0
79,80,1968,Male,Information Media and Telecommunications,Professionals,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,90%,90%,Strongly agree,Strongly agree,Strongly agree,I’m 40% more productive when working remotely,1.0,10.0,1.0,1.0,0.0,11.0,2.0,1.0
80,81,1961,Male,Manufacturing,Managers,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,20%,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,60%,40%,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,3.0,6.0,5.0,4.0,0.5,5.0,8.0,4.0
81,82,1968,Male,"Professional, Scientific and Technical Services",Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,70%,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,40%,100% - All of my time,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,2.5,10.0,2.0,3.0,0.5,2.5,2.0,3.0
82,83,1964,Male,Public Administration and Safety,Community and personal service ,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,70%,60%,Somewhat agree,Somewhat agree,Neither agree nor disagree,I’m 10% more productive when working remotely,1.0,7.0,15.0,1.0,0.5,7.0,15.5,1.0
83,84,1969,Male,Information Media and Telecommunications,Managers,More than 200,No,One  parent family with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,70%,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,My productivity is about same when I work remotely,3.5,7.6,2.0,3.0,0.0,7.6,4.5,4.0
84,85,1968,Male,Manufacturing,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,90%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,70%,70%,Somewhat agree,Strongly agree,Somewhat agree,I’m 50% more productive when working remotely (or more),6.0,7.0,2.0,2.0,1.0,8.0,4.0,4.0
85,86,1965,Male,Retail Trade,Sales ,Between 5 and 19,Yes,One  parent family with dependent children,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,30%,30%,Neither agree nor disagree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,10.0,4.0,2.0,0.0,10.0,5.0,2.0
86,87,1964,Male,"Electricity, Gas, Water and Waste Services",Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,10%,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,100% - All of my time,100% - All of my time,Somewhat disagree,Strongly disagree,Strongly disagree,I’m 50% less productive when working remotely (or less),0.2,14.0,3.0,0.0,0.0,12.0,3.0,2.0
87,88,1957,Male,Information Media and Telecommunications,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,20%,10%,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,I’m 50% more productive when working remotely (or more),2.0,8.0,2.0,2.0,0.0,10.0,2.0,2.0
88,89,1970,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,No,One  parent family with dependent children,More than 5 years,Metro,90%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat agree,Strongly agree,Somewhat agree,My productivity is about same when I work remotely,2.5,7.0,3.0,2.0,0.5,8.0,4.0,2.0
89,90,1980,Male,Manufacturing,Sales ,More than 200,No,Couple with dependent children,More than 5 years,Metro,30%,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,70%,60%,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,I’m 30% more productive when working remotely,1.0,1.0,2.0,2.0,0.0,6.0,3.0,3.0
90,91,1974,Male,Education and Training,Sales ,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,100% - All of my time,100% - All of my time,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,92,1960,Male,"Transport, Postal and Warehousing",Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,20%,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Somewhat agree,Somewhat agree,I’m 50% more productive when working remotely (or more),3.0,8.0,2.0,1.0,0.0,9.0,4.0,3.0
92,93,1963,Male,Financial and Insurance Services,Managers,Between 1 and 4,No,Couple with no dependent children,Between 1 and 5 years,Metro,20%,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,20%,20%,Strongly disagree,Somewhat disagree,Neither agree nor disagree,I’m 20% less productive when working remotely,1.5,8.0,4.0,1.0,0.5,8.0,4.0,1.0
93,94,1986,Female,Retail Trade,Sales ,Between 20 and 199,No,Other one family household,Between 6 and 12 months,Metro,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,80%,50% - About half of my time,Somewhat agree,Strongly agree,Somewhat agree,My productivity is about same when I work remotely,3.0,7.5,3.0,3.0,0.5,7.5,5.0,6.0
94,95,2000,Male,Education and Training,Professionals,Between 20 and 199,No,Group household,Between 6 and 12 months,Metro,20%,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,50% - About half of my time,30%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,I’m 30% less productive when working remotely,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
95,96,1971,Male,Wholesale Trade,Sales ,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Regional,50% - I spent about half of my time remote working,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,50% - About half of my time,50% - About half of my time,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 10% more productive when working remotely,2.5,8.0,4.0,2.0,0.0,8.0,8.0,2.0
96,97,1970,Female,Information Media and Telecommunications,Professionals,Between 20 and 199,No,Single person,Between 6 and 12 months,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Strongly agree,Somewhat agree,Somewhat agree,I’m 10% more productive when working remotely,1.0,8.0,4.0,1.0,0.0,10.0,2.0,1.0
97,98,1964,Male,Retail Trade,Professionals,More than 200,No,Single person,More than 5 years,Metro,80%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,10%,20%,Strongly agree,Strongly agree,Strongly agree,I’m 10% less productive when working remotely,1.0,9.0,5.0,2.0,0.25,9.0,4.0,2.0
98,99,1960,Female,Health Care and Social Assistance,Clerical and administrative ,Between 1 and 4,Yes,Multiple family household,More than 5 years,Metro,20%,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,20%,10%,Somewhat disagree,Somewhat disagree,Somewhat disagree,My productivity is about same when I work remotely,1.5,9.0,5.0,2.0,0.0,9.0,5.0,2.0
99,100,1962,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Single person,More than 5 years,Metro,90%,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,90%,90%,Somewhat agree,Somewhat agree,Somewhat agree,I’m 20% more productive when working remotely,2.0,8.0,4.0,0.0,0.5,8.0,4.0,0.0
100,101,1974,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with dependent children,Between 6 and 12 months,Metro,20%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,20%,40%,Somewhat agree,Neither agree nor disagree,Somewhat agree,I’m 50% more productive when working remotely (or more),2.0,4.0,2.0,3.0,0.5,7.0,3.0,3.0
101,102,1959,Male,Arts and Recreation Services,Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,100% - All of my time,Somewhat agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),1.0,8.0,4.0,2.0,0.0,6.0,6.0,2.0
102,103,1955,Male,Public Administration and Safety,Clerical and administrative ,More than 200,No,Other one family household,More than 5 years,Metro,10%,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,50% - About half of my time,80%,Strongly agree,Strongly agree,Strongly agree,I’m 50% more productive when working remotely (or more),1.0,5.0,18.0,0.0,2.0,8.0,14.0,0.0
103,104,1960,Male,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,80%,Somewhat disagree,Strongly agree,Somewhat agree,I’m 20% more productive when working remotely,2.0,7.0,4.0,1.0,0.0,7.0,5.5,1.5
104,105,1961,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,80%,20%,Somewhat disagree,Neither agree nor disagree,Somewhat agree,My productivity is about same when I work remotely,2.0,6.0,1.0,1.0,0.5,7.0,2.0,2.0
105,106,1959,Male,Financial and Insurance Services,Professionals,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,80%,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,40%,40%,Somewhat agree,Somewhat agree,Somewhat agree,My productivity is about same when I work remotely,1.0,8.0,4.0,3.0,0.0,9.0,4.0,3.0
106,107,1968,Male,Public Administration and Safety,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,100% - All of my time,70%,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,My productivity is about same when I work remotely,3.0,9.0,3.0,1.0,0.5,9.0,4.0,3.0
107,108,1969,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,100% - All of my time,50% - About half of my time,Somewhat agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,5.0,8.0,2.0,2.0,1.0,8.0,4.0,3.0
108,109,1968,Male,"Transport, Postal and Warehousing",Sales ,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,90%,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,90%,70%,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,I’m 10% less productive when working remotely,1.0,6.0,3.0,3.0,0.5,8.0,3.0,3.0
109,110,1990,Male,Accommodation and Food Services,Managers,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,100% - I spent all of my time remote working,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,100% - All of my time,50% - About half of my time,Strongly agree,Strongly agree,Strongly agree,My productivity is about same when I work remotely,2.0,8.0,3.0,2.0,0.5,9.0,3.0,2.0
