responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
78,1963,Female,Information Media and Telecommunications,Managers,I am the only employee,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Strongly agree,Somewhat agree,Strongly agree,same productivity,3.0,7.0,1.0,4.0,0.5,7.0,3.0,4.0
79,1968,Male,Information Media and Telecommunications,Professionals,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,1.0,10.0,1.0,1.0,0.0,11.0,2.0,1.0
80,1961,Male,Other,Managers,Between 20 and 199,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,3-4 days,2-3 days,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,less productive,3.0,6.0,5.0,4.0,0.5,5.0,8.0,4.0
81,1968,Male,"Professional, Scientific and Technical Services",Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Neither agree nor disagree,2-3 days,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,same productivity,2.5,10.0,2.0,3.0,0.5,2.5,2.0,3.0
82,1964,Male,Other,Other,More than 200,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,3-4 days,3-4 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,more productive,1.0,7.0,3.5,1.0,0.5,7.0,4.0,1.0
83,1969,Male,Information Media and Telecommunications,Managers,More than 200,No,One  parent family with dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,same productivity,3.5,7.6,2.0,3.0,0.0,7.6,4.5,4.0
84,1968,Male,Other,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,3-4 days,Somewhat agree,Strongly agree,Somewhat agree,much more productive,6.0,7.0,2.0,2.0,1.0,8.0,4.0,4.0
85,1965,Male,Retail Trade,Sales ,Between 5 and 19,Yes,One  parent family with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,1-2 days,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,same productivity,1.0,10.0,4.0,2.0,0.0,10.0,5.0,2.0
86,1964,Male,Other,Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,4-5 days,4-5 days,Somewhat disagree,Strongly disagree,Strongly disagree,much less productive,0.2,14.0,3.0,0.0,0.0,12.0,3.0,2.0
87,1957,Male,Information Media and Telecommunications,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,1-2 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,much more productive,2.0,8.0,2.0,2.0,0.0,10.0,2.0,2.0
88,1970,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,No,One  parent family with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,same productivity,2.5,7.0,3.0,2.0,0.5,8.0,4.0,2.0
89,1980,Male,Other,Sales ,More than 200,No,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,3-4 days,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,much more productive,1.0,1.0,2.0,2.0,0.0,6.0,3.0,3.0
90,1974,Male,Education and Training,Sales ,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
91,1960,Male,Other,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,3.0,8.0,2.0,1.0,0.0,9.0,4.0,3.0
92,1963,Male,Financial and Insurance Services,Managers,Between 1 and 4,No,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Strongly disagree,Somewhat disagree,Neither agree nor disagree,less productive,1.5,8.0,4.0,1.0,0.5,8.0,4.0,1.0
93,1986,Female,Retail Trade,Sales ,Between 20 and 199,No,Other one family household,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Strongly agree,Somewhat agree,same productivity,3.0,7.5,3.0,3.0,0.5,7.5,5.0,6.0
94,2000,Male,Education and Training,Professionals,Between 20 and 199,No,Group household,Between 6 and 12 months,Metro,1-2 days,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2-3 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much less productive,1.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0
95,1971,Male,Other,Sales ,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Regional,2-3 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,more productive,2.5,8.0,4.0,2.0,0.0,8.0,8.0,2.0
96,1970,Female,Information Media and Telecommunications,Professionals,Between 20 and 199,No,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,more productive,1.0,8.0,4.0,1.0,0.0,10.0,2.0,1.0
97,1964,Male,Retail Trade,Professionals,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,0-1 days,1-2 days,Strongly agree,Strongly agree,Strongly agree,less productive,1.0,9.0,5.0,2.0,0.25,9.0,4.0,2.0
98,1960,Female,Health Care and Social Assistance,Clerical and administrative ,Between 1 and 4,Yes,Multiple family household,More than 5 years,Metro,1-2 days,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,1-2 days,0-1 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,same productivity,1.5,9.0,5.0,2.0,0.0,9.0,5.0,2.0
99,1962,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Single person,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,2.0,8.0,4.0,0.0,0.5,8.0,4.0,0.0
100,1974,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with dependent children,Between 6 and 12 months,Metro,1-2 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,1-2 days,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,much more productive,2.0,4.0,2.0,3.0,0.5,7.0,3.0,3.0
101,1959,Male,Other,Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Strongly agree,much more productive,1.0,8.0,4.0,2.0,0.0,6.0,6.0,2.0
102,1955,Male,Other,Clerical and administrative ,More than 200,No,Other one family household,More than 5 years,Metro,0-1 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,1.0,5.0,3.5,0.0,2.0,8.0,4.0,0.0
103,1960,Male,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Strongly agree,Somewhat agree,more productive,2.0,7.0,4.0,1.0,0.0,7.0,5.5,1.5
104,1961,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,1-2 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,same productivity,2.0,6.0,1.0,1.0,0.5,7.0,2.0,2.0
105,1959,Male,Financial and Insurance Services,Professionals,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1.0,8.0,4.0,3.0,0.0,9.0,4.0,3.0
106,1968,Male,Other,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,3.0,9.0,3.0,1.0,0.5,9.0,4.0,3.0
107,1969,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Strongly agree,Strongly agree,same productivity,5.0,8.0,2.0,2.0,1.0,8.0,4.0,3.0
108,1968,Male,Other,Sales ,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,less productive,1.0,6.0,3.0,3.0,0.5,8.0,3.0,3.0
109,1990,Male,Other,Managers,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,4-5 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,same productivity,2.0,8.0,3.0,2.0,0.5,9.0,3.0,2.0
110,1960,Male,Other Services,Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2.0,4.0,4.0,5.0,2.0,7.0,4.0,6.0
111,1994,Female,Financial and Insurance Services,Managers,More than 200,No,Group household,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,0.75,8.0,4.0,0.0,0.0,9.0,5.0,1.0
112,1959,Male,Information Media and Telecommunications,Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,1.5,9.0,3.0,2.0,0.5,9.0,3.0,4.0
113,1990,Male,Other,Professionals,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,much more productive,1.0,8.0,3.0,1.0,0.0,9.0,3.0,2.0
114,1960,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,same productivity,3.0,9.0,3.0,2.0,0.5,9.0,3.0,2.0
115,1962,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,3-4 days,Strongly agree,Strongly agree,Strongly agree,more productive,3.0,8.0,2.0,1.0,1.0,8.0,4.0,1.0
116,1972,Male,Education and Training,Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,0-1 days,0-1 days,Somewhat disagree,Strongly agree,Somewhat agree,same productivity,1.5,5.0,4.0,5.0,0.0,5.0,4.0,4.0
117,1957,Male,Retail Trade,Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,more productive,2.0,7.0,4.0,1.0,0.5,7.0,6.0,1.0
118,1964,Male,Retail Trade,Managers,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,2-3 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,more productive,0.1,8.0,8.0,7.9,0.1,8.0,8.0,7.9
119,1970,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2.0,6.0,6.0,2.0,0.0,9.0,6.0,2.0
120,1962,Male,Information Media and Telecommunications,Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,less productive,2.0,8.0,4.0,2.0,1.0,8.0,4.0,1.0
121,1959,Male,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,more productive,0.5,7.5,4.0,2.0,0.5,8.0,3.0,2.5
122,1963,Male,Other,Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,same productivity,2.0,8.5,3.0,1.5,0.5,10.0,3.0,1.5
123,1970,Male,Retail Trade,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,1.0,10.0,3.0,2.0,1.0,10.0,4.0,2.0
124,1963,Female,Other,Managers,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,0-1 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,2.0,10.0,2.0,3.0,0.0,12.0,2.0,3.0
125,1964,Male,Other,Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,3-4 days,Somewhat disagree,Somewhat agree,Somewhat disagree,much more productive,2.0,8.0,3.0,2.0,0.5,8.0,4.0,3.0
126,1965,Female,"Professional, Scientific and Technical Services",Professionals,Between 1 and 4,No,Couple with dependent children,More than 5 years,Metro,0-1 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0-1 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0.2,3.0,4.0,4.0,0.2,3.0,5.0,5.0
127,1983,Female,Other,Clerical and administrative ,More than 200,No,Single person,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,3.0,9.0,2.0,2.0,0.0,9.0,2.0,3.0
128,1965,Female,Other,Clerical and administrative ,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,2.0,8.0,3.0,3.0,0.0,8.0,5.0,4.0
129,1980,Female,Other,Clerical and administrative ,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,same productivity,1.5,4.0,2.0,5.0,0.2,4.0,4.0,5.0
130,1988,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,less productive,2.0,7.0,3.5,2.0,0.5,8.0,4.0,3.0
131,1955,Male,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,more productive,1.0,7.5,3.0,3.0,1.0,7.5,5.0,3.0
