responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities,commute_time_difference
83,1969,Male,Information Media and Telecommunications,Managers,More than 200,No,One  parent family with dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,3-4 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,same productivity,3.5,7.6,2,3,0,7.6,4.5,4,3.5
84,1968,Male,Other,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,3-4 days,Somewhat agree,Strongly agree,Somewhat agree,much more productive,6,7,2,2,1,8,4,4,5
85,1965,Male,Retail Trade,Sales ,Between 5 and 19,Yes,One  parent family with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly disagree,1-2 days,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,same productivity,1,10,4,2,0,10,5,2,1
86,1964,Male,Other,Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,4-5 days,4-5 days,Somewhat disagree,Strongly disagree,Strongly disagree,much less productive,0.2,14,3,0,0,12,3,2,0.2
87,1957,Male,Information Media and Telecommunications,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,1-2 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,much more productive,2,8,2,2,0,10,2,2,2
88,1970,Female,"Professional, Scientific and Technical Services",Professionals,More than 200,No,One  parent family with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,same productivity,2.5,7,3,2,0.5,8,4,2,2
89,1980,Male,Other,Sales ,More than 200,No,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,3-4 days,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,much more productive,1,1,2,2,0,6,3,3,1
90,1974,Male,Education and Training,Sales ,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,1,1,1,1,1,1,1,1,0
91,1960,Male,Other,Professionals,More than 200,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,3,8,2,1,0,9,4,3,3
92,1963,Male,Financial and Insurance Services,Managers,Between 1 and 4,No,Couple with no dependent children,Between 1 and 5 years,Metro,1-2 days,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Somewhat agree,1-2 days,1-2 days,Strongly disagree,Somewhat disagree,Neither agree nor disagree,less productive,1.5,8,4,1,0.5,8,4,1,1
93,1986,Female,Retail Trade,Sales ,Between 20 and 199,No,Other one family household,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Strongly agree,Somewhat agree,same productivity,3,7.5,3,3,0.5,7.5,5,6,2.5
94,2000,Male,Education and Training,Professionals,Between 20 and 199,No,Group household,Between 6 and 12 months,Metro,1-2 days,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2-3 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much less productive,1,6,0,0,0,8,0,0,1
95,1971,Male,Other,Sales ,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Regional,2-3 days,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,more productive,2.5,8,4,2,0,8,8,2,2.5
96,1970,Female,Information Media and Telecommunications,Professionals,Between 20 and 199,No,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,more productive,1,8,4,1,0,10,2,1,1
97,1964,Male,Retail Trade,Professionals,More than 200,No,Single person,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,0-1 days,1-2 days,Strongly agree,Strongly agree,Strongly agree,less productive,1,9,5,2,0.25,9,4,2,0.75
98,1960,Female,Health Care and Social Assistance,Clerical and administrative ,Between 1 and 4,Yes,Multiple family household,More than 5 years,Metro,1-2 days,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,1-2 days,0-1 days,Somewhat disagree,Somewhat disagree,Somewhat disagree,same productivity,1.5,9,5,2,0,9,5,2,1.5
99,1962,Male,Financial and Insurance Services,Managers,Between 20 and 199,Yes,Single person,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,2,8,4,0,0.5,8,4,0,1.5
100,1974,Male,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with dependent children,Between 6 and 12 months,Metro,1-2 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,1-2 days,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,much more productive,2,4,2,3,0.5,7,3,3,1.5
101,1959,Male,Other,Professionals,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Strongly agree,much more productive,1,8,4,2,0,6,6,2,1
102,1955,Male,Other,Clerical and administrative ,More than 200,No,Other one family household,More than 5 years,Metro,0-1 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,1,5,3.5,0,2,8,4,0,-1
103,1960,Male,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat disagree,Strongly agree,Somewhat agree,more productive,2,7,4,1,0,7,5.5,1.5,2
104,1961,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,1-2 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,same productivity,2,6,1,1,0.5,7,2,2,1.5
105,1959,Male,Financial and Insurance Services,Professionals,Between 5 and 19,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1,8,4,3,0,9,4,3,1
106,1968,Male,Other,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,3,9,3,1,0.5,9,4,3,2.5
107,1969,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Strongly agree,Strongly agree,same productivity,5,8,2,2,1,8,4,3,4
108,1968,Male,Other,Sales ,Between 20 and 199,Yes,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,less productive,1,6,3,3,0.5,8,3,3,0.5
109,1990,Male,Other,Managers,Between 20 and 199,No,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,4-5 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,same productivity,2,8,3,2,0.5,9,3,2,1.5
110,1960,Male,Other Services,Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2,4,4,5,2,7,4,6,0
111,1994,Female,Financial and Insurance Services,Managers,More than 200,No,Group household,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,0.75,8,4,0,0,9,5,1,0.75
112,1959,Male,Information Media and Telecommunications,Professionals,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,1.5,9,3,2,0.5,9,3,4,1
113,1990,Male,Other,Professionals,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,2-3 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,much more productive,1,8,3,1,0,9,3,2,1
114,1960,Male,Financial and Insurance Services,Managers,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,same productivity,3,9,3,2,0.5,9,3,2,2.5
115,1962,Male,Information Media and Telecommunications,Managers,More than 200,Yes,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,3-4 days,Strongly agree,Strongly agree,Strongly agree,more productive,3,8,2,1,1,8,4,1,2
116,1972,Male,Education and Training,Professionals,More than 200,No,Couple with dependent children,Between 1 and 5 years,Metro,0-1 days,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,0-1 days,0-1 days,Somewhat disagree,Strongly agree,Somewhat agree,same productivity,1.5,5,4,5,0,5,4,4,1.5
117,1957,Male,Retail Trade,Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,more productive,2,7,4,1,0.5,7,6,1,1.5
118,1964,Male,Retail Trade,Managers,Between 1 and 4,Yes,Couple with no dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,2-3 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,more productive,0.1,8,8,7.9,0.1,8,8,7.9,0
119,1970,Male,"Professional, Scientific and Technical Services",Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,much more productive,2,6,6,2,0,9,6,2,2
120,1962,Male,Information Media and Telecommunications,Professionals,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,less productive,2,8,4,2,1,8,4,1,1
121,1959,Male,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Neither agree nor disagree,more productive,0.5,7.5,4,2,0.5,8,3,2.5,0
122,1963,Male,Other,Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,1-2 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,3-4 days,2-3 days,Somewhat disagree,Neither agree nor disagree,Somewhat agree,same productivity,2,8.5,3,1.5,0.5,10,3,1.5,1.5
123,1970,Male,Retail Trade,Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,1,10,3,2,1,10,4,2,0
124,1963,Female,Other,Managers,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,1-2 days,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,0-1 days,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,same productivity,2,10,2,3,0,12,2,3,2
125,1964,Male,Other,Managers,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,3-4 days,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,3-4 days,Somewhat disagree,Somewhat agree,Somewhat disagree,much more productive,2,8,3,2,0.5,8,4,3,1.5
126,1965,Female,"Professional, Scientific and Technical Services",Professionals,Between 1 and 4,No,Couple with dependent children,More than 5 years,Metro,0-1 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0-1 days,0-1 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,same productivity,0.2,3,4,4,0.2,3,5,5,0
127,1983,Female,Other,Clerical and administrative ,More than 200,No,Single person,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,3,9,2,2,0,9,2,3,3
128,1965,Female,Other,Clerical and administrative ,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,2,8,3,3,0,8,5,4,2
129,1980,Female,Other,Clerical and administrative ,Between 5 and 19,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Strongly agree,Strongly agree,Strongly agree,same productivity,1.5,4,2,5,0.2,4,4,5,1.3
130,1988,Male,"Professional, Scientific and Technical Services",Managers,More than 200,Yes,Single person,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Neither agree nor disagree,Somewhat agree,less productive,2,7,3.5,2,0.5,8,4,3,1.5
131,1955,Male,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,Yes,Couple with dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,3-4 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,more productive,1,7.5,3,3,1,7.5,5,3,0
132,1974,Female,Other,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly agree,3-4 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,4,8,2,6,0.5,9,2,5,3.5
133,1981,Male,Other,Managers,Between 5 and 19,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,2-3 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,same productivity,1,8,2,1,0,8,2,1,1
134,1977,Male,Information Media and Telecommunications,Professionals,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,3-4 days,2-3 days,Somewhat disagree,Somewhat agree,Somewhat agree,much more productive,2,8,4,4,0.5,8,8,4,1.5
135,1967,Male,Other,Professionals,Between 20 and 199,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,3-4 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,1,8,1,1,0,9,1,1,1
